Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions,,,,,,a
MSitAE-SEPTEMBER-2024,RGR,NHS ENGLAND EAST OF ENGLAND ,WEST SUFFOLK NHS FOUNDATION TRUST,7550,0,635,69,0,0,2669,0,0,0,0,0,460,430,1848,0,0,382,,,,,,
MSitAE-SEPTEMBER-2024,RJL,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,8543,0,6157,0,0,360,4298,0,58,0,0,4,697,672,4995,0,0,412,,,,,,
MSitAE-SEPTEMBER-2024,RJR,NHS ENGLAND NORTH WEST ,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,4835,0,2211,0,0,0,2496,0,155,0,0,0,239,648,1584,0,0,1266,,,,,,
MSitAE-SEPTEMBER-2024,RL4,NHS ENGLAND MIDLANDS ,THE ROYAL WOLVERHAMPTON NHS TRUST,12573,0,6635,81,0,719,3944,0,53,19,0,0,1168,253,5775,0,0,863,,,,,,
MSitAE-SEPTEMBER-2024,RNA,NHS ENGLAND MIDLANDS ,THE DUDLEY GROUP NHS FOUNDATION TRUST,9183,0,4014,0,0,666,2540,0,69,0,0,0,1939,71,3484,0,0,2250,,,,,,
MSitAE-SEPTEMBER-2024,RNQ,NHS ENGLAND MIDLANDS ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,9328,0,8057,330,0,0,3527,0,105,0,0,0,1356,0,1952,0,0,206,,,,,,
MSitAE-SEPTEMBER-2024,RRF,NHS ENGLAND NORTH WEST ,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",7174,0,5104,0,0,0,3456,0,36,0,0,0,1175,457,3058,0,0,793,,,,,,
MSitAE-SEPTEMBER-2024,RRV,NHS ENGLAND LONDON,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,12555,0,0,349,0,0,3472,0,0,0,0,0,378,85,1366,0,0,286,,,,,,
MSitAE-SEPTEMBER-2024,RTQ,NHS ENGLAND SOUTH WEST ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,0,0,7270,0,0,0,0,0,25,0,0,0,0,0,0,0,1,16,,,,,,
MSitAE-SEPTEMBER-2024,RVW,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,4549,0,10963,0,0,0,2201,0,38,0,0,0,154,5,1614,0,525,2149,,,,,,
MSitAE-SEPTEMBER-2024,RWF,NHS ENGLAND SOUTH EAST ,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,17850,0,2125,915,0,154,3382,0,4,98,0,0,890,64,4902,0,0,893,,,,,,
MSitAE-SEPTEMBER-2024,RXW,NHS ENGLAND MIDLANDS ,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,10075,0,2289,0,0,0,5745,0,170,0,0,0,484,587,3078,0,164,2030,,,,,,
MSitAE-SEPTEMBER-2024,RY2,NHS ENGLAND NORTH WEST ,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,0,0,2779,0,0,136,0,0,24,0,0,2,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,RY8,NHS ENGLAND MIDLANDS ,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,5893,0,0,1365,0,0,33,0,0,1,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,RYG,NHS ENGLAND MIDLANDS ,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,62,,,,,,
MSitAE-SEPTEMBER-2024,Y02428,NHS ENGLAND EAST OF ENGLAND ,PUTNOE WALK IN CENTRE,0,0,2396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,Y03007,NHS ENGLAND MIDLANDS ,ERDINGTON GP HEALTH & WELLBEING WIC,0,0,0,0,0,2093,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,2805,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,ARN03,NHS ENGLAND NORTH EAST AND YORKSHIRE ,LOCAL CARE DIRECT,0,0,1937,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,NNF09,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRANSHOLME HEALTH CENTRE,0,0,3454,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,NNF16,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRIDLINGTON HOSPITAL,0,0,1526,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,NNF94,NHS ENGLAND NORTH EAST AND YORKSHIRE ,EAST RIDING COMMUNITY HOSPITAL,0,0,2637,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,NNFA7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GOOLE & DISTRICT HOSPITAL,0,0,1522,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,NNJ07,NHS ENGLAND MIDLANDS ,LOUGHBOROUGH URGENT CARE CENTRE,0,0,5362,0,0,551,0,0,18,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,NNJ0H,NHS ENGLAND MIDLANDS ,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,0,0,199,0,0,1927,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,NNJ12,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH,0,0,76,0,0,359,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,NNJ13,NHS ENGLAND MIDLANDS ,MELTON MOWBRAY,0,0,58,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,NNJ14,NHS ENGLAND MIDLANDS ,OADBY,0,0,482,0,0,2161,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,NNJ15,NHS ENGLAND MIDLANDS ,OAKHAM,0,0,72,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MSitAE-SEPTEMBER-2024,R0B,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,11215,1228,5828,458,0,1285,4778,38,161,202,0,44,403,2,4324,24,0,1216,,,,,,
MSitAE-SEPTEMBER-2024,R0D,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,12978,0,4777,0,0,0,4879,0,0,0,0,0,752,128,3915,0,0,2245,,,,,,
MSitAE-SEPTEMBER-2024,R1K,NHS ENGLAND LONDON,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,12797,0,14079,0,0,0,6832,0,81,0,0,0,756,576,6418,0,0,285,,,,,,
MSitAE-SEPTEMBER-2024,RAE,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,8960,1219,3022,0,0,0,2273,0,0,0,0,0,729,55,2590,0,42,1363,,,,,,
MSitAE-SEPTEMBER-2024,RAP,NHS ENGLAND LONDON,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,7912,483,6512,82,2,92,3898,3,574,32,0,7,300,791,1375,0,187,43,,,,,,
MSitAE-SEPTEMBER-2024,RBV,NHS ENGLAND NORTH WEST ,THE CHRISTIE NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772,,,,,,
MSitAE-SEPTEMBER-2024,RCU,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,4336,0,327,272,0,17,313,0,0,21,0,0,11,0,1071,0,0,90,,,,,,
MSitAE-SEPTEMBER-2024,RD8,NHS ENGLAND EAST OF ENGLAND ,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,8258,0,4584,431,0,135,3361,0,59,205,0,0,582,0,1980,0,0,405,,,,,,
MSitAE-SEPTEMBER-2024,RDU,NHS ENGLAND SOUTH EAST ,FRIMLEY HEALTH NHS FOUNDATION TRUST,22006,968,10346,0,0,0,10332,0,107,0,0,0,1910,247,5936,0,0,105,,,,,,
MSitAE-SEPTEMBER-2024,RF4,NHS ENGLAND LONDON,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",12549,2408,12453,0,0,0,5513,318,97,0,0,0,693,618,7657,0,0,386,,,,,,
MSitAE-SEPTEMBER-2024,RFR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE ROTHERHAM NHS FOUNDATION TRUST,8327,0,0,0,0,0,2924,0,0,0,0,0,481,6,1887,0,0,360,,,,,,
MSitAE-SEPTEMBER-2024,RFS,NHS ENGLAND MIDLANDS ,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,6907,0,5664,249,0,105,3635,0,241,119,0,34,940,99,2468,0,300,568,,,,,,
MSitAE-SEPTEMBER-2024,RGT,NHS ENGLAND EAST OF ENGLAND ,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10326,0,5689,269,0,261,5112,0,139,88,0,21,605,397,2733,0,23,470,,,,,,
